Star_name,Distance,Mass,Radius
78,2MASS J10224821+5825453 [de],60.0,0.0257730876,0.14489582999999998
79,2MASSW J1036530-344138 [de],53.0,0.046773381200000005,0.09968010999999999
80,2MASS J1047538+212423 [de],34.4,0.0400914696,0.09659721999999998
81,DEN 1048-3956,13.15,0.0735010276,0.10995641
82,Luhman 16B,6.516,0.041046028400000004,0.10481826
83,Luhman 16A,6.516,0.038182352,0.10379063
84,DENIS-P J1058.7−1548,49.0,0.0610917632,0.102763
85,TWA 28,180.0,0.034364116800000004,0.24560357
86,Cha 110913-773444,163.0,0.0076364704,0.18497339999999998
87,SDSS J111010.01+011613.1,63.0,0.008591029200000001,0.12742612
88,2MASS J11145133−2618235,18.2,0.0315004404,0.09865247999999999
89,TWA 26,137.0,0.028636764000000002,0.2260786
90,2MASS J11544223-3400390 [de],129.0,0.0353186756,0.1541445
91,2MASSW J1155395-372735 [de],31.0,0.0610917632,0.102763
92,2MASS J12074836-3900043,217.0,0.0162274996,0.17572473
93,2MASSI J1217110-031113 [de],36.0,0.0400914696,0.09659721999999998
94,2M 1237+6526,45.6,0.0391369108,0.09659721999999998
95,TWA 29,262.0,0.0019091176,2.5690749999999998
96,SDSSp J125453.90-012247.4 [de],38.0,0.0448642636,0.10070773999999999
97,Kelu-1A,61.0,0.060137204400000005,0.10070773999999999
98,Kelu-1B,61.0,0.0553644104,0.10070773999999999
99,2MASS J13204427+0409045,101.0,0.0639554396,0.10379063
100,SDSSp J132629.82-003831.5 [de],65.0,0.0486824988,0.09968010999999999
101,SDSSp J134646.45-003150.4 [de],48.0,0.0420005872,0.09659721999999998
102,2MASS J13595510-4034582,51.0,0.060137204400000005,0.102763
103,ULAS J141623.94+134836.3,29.7,0.0305458816,0.09865247999999999
104,SDSS J141659.78+500626.4 [de],149.0,0.056318969200000006,0.10173536999999999
105,DENIS-P J142527.97-365023.4 [de],38.0,0.0200457348,0.13564716
106,LHS 2924,38.5,0.0725464688,0.10892878
107,2MASS J14392837+1929150,47.0,0.06872823360000001,0.10584589
108,LSPM J1440+1339,72.0,0.08781940960000001,0.12228796999999998
